pipeline,group,var_i,var_j,rho_gauss
110MW,fall_day,Solar,Demand,0.1715
110MW,fall_day,Wind,Solar,-0.0097
110MW,fall_day,Wind,Wind,1.0
110MW,fall_day,Wind,Demand,0.0505
110MW,fall_day,Demand,Solar,0.1715
110MW,fall_day,Demand,Wind,0.0505
110MW,fall_day,Demand,Demand,1.0
110MW,fall_night,Solar,Solar,1.0
110MW,fall_night,Solar,Wind,-0.0
110MW,fall_night,Solar,Demand,0.0
110MW,fall_night,Wind,Solar,-0.0
110MW,fall_night,Wind,Wind,1.0
110MW,fall_night,Wind,Demand,0.0673
110MW,fall_night,Demand,Solar,0.0
110MW,fall_night,Demand,Wind,0.0673
110MW,fall_night,Demand,Demand,1.0
