LocalRep,GlobalIdx,Prob,spring_day,spring_night,summer_day,summer_night,fall_day,fall_night,winter_day,winter_night
0,3280,0.0096021947873799,0.0026666666666666666,0.0008888888888888888,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,0.0,183.01466666666667
1,1093,0.0097546105776558,183.036,0.0008888888888888888,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,0.0,183.01466666666667
2,5467,0.0080780368846212,183.036,0.0008888888888888888,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,0.0,183.01466666666667
3,3250,0.0074683737235177,0.0026666666666666666,0.0008888888888888888,182.99066666666664,183.01333333333332,174.46133333333333,182.87555555555556,182.99644444444445,183.01466666666667
4,3256,0.0073159579332418,0.0026666666666666666,0.0008888888888888888,182.99066666666664,183.01333333333332,174.46133333333333,182.87555555555556,182.99644444444445,183.01466666666667
5,2578,0.0076207895137936,0.0026666666666666666,183.0142222222222,182.99066666666664,183.01333333333332,64.36311111111111,182.87555555555556,0.0,183.01466666666667
6,4036,0.0070111263526901,0.0026666666666666666,0.0,182.99066666666664,183.01333333333332,64.36311111111111,182.87555555555556,0.0,183.01466666666667
7,2947,0.0088401158360006,0.0026666666666666666,0.0008888888888888888,0.19999999999999998,0.0,5.187555555555556,41.958666666666666,0.0,183.01466666666667
8,3127,0.0096021947873799,0.0026666666666666666,0.0008888888888888888,0.19999999999999998,0.0,5.187555555555556,49.26666666666666,0.0,183.01466666666667
9,3451,0.0096021947873799,0.0026666666666666666,0.0008888888888888888,0.0,0.0,5.187555555555556,49.26666666666666,0.0,183.01466666666667
10,3595,0.0089925316262764,0.0026666666666666666,0.0008888888888888888,0.0,0.0,5.187555555555556,41.958666666666666,0.0,183.01466666666667
11,778,0.0079256210943453,183.036,0.0008888888888888888,0.19999999999999998,0.0,5.187555555555556,49.26666666666666,0.0,183.01466666666667
12,922,0.0082304526748971,183.036,0.0008888888888888888,0.19999999999999998,0.0,5.187555555555556,41.958666666666666,0.0,183.01466666666667
13,1246,0.0089925316262764,183.036,0.0008888888888888888,0.0,0.0,5.187555555555556,41.958666666666666,0.0,183.01466666666667
14,1426,0.0088401158360006,183.036,0.0008888888888888888,0.0,0.0,5.187555555555556,49.26666666666666,0.0,183.01466666666667
15,5466,0.0064014631915866,183.036,0.0008888888888888888,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,0.0,4.6177777777777775
16,5468,0.0076207895137936,183.036,0.0008888888888888888,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,0.0,0.0
17,2523,0.0097546105776558,0.0026666666666666666,183.0142222222222,182.99066666666664,183.01333333333332,174.46133333333333,182.87555555555556,0.0,4.6177777777777775
18,2549,0.0088401158360006,0.0026666666666666666,183.0142222222222,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,182.99644444444445,0.0
19,4005,0.0086877000457247,0.0026666666666666666,0.0,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,182.99644444444445,4.6177777777777775
20,3983,0.0092973632068282,0.0026666666666666666,0.0,182.99066666666664,183.01333333333332,174.46133333333333,182.87555555555556,0.0,0.0
21,3309,0.0089925316262764,0.0026666666666666666,0.0008888888888888888,182.99066666666664,183.01333333333332,64.36311111111111,182.87555555555556,182.99644444444445,4.6177777777777775
22,3311,0.0088401158360006,0.0026666666666666666,0.0008888888888888888,182.99066666666664,183.01333333333332,64.36311111111111,182.87555555555556,182.99644444444445,0.0
23,5152,0.0074683737235177,183.036,0.0008888888888888888,0.19999999999999998,0.0,5.187555555555556,49.26666666666666,0.0,183.01466666666667
24,5296,0.0080780368846212,183.036,0.0008888888888888888,0.19999999999999998,0.0,5.187555555555556,41.958666666666666,0.0,183.01466666666667
25,5620,0.0067062947721383,183.036,0.0008888888888888888,0.0,0.0,5.187555555555556,41.958666666666666,0.0,183.01466666666667
26,5800,0.0073159579332418,183.036,0.0008888888888888888,0.0,0.0,5.187555555555556,49.26666666666666,0.0,183.01466666666667
27,2528,0.0054869684499314,0.0026666666666666666,183.0142222222222,182.99066666666664,183.01333333333332,174.46133333333333,182.87555555555556,182.99644444444445,0.0
28,2574,0.0054869684499314,0.0026666666666666666,183.0142222222222,182.99066666666664,183.01333333333332,64.36311111111111,182.87555555555556,182.99644444444445,4.6177777777777775
29,3984,0.0056393842402072,0.0026666666666666666,0.0,182.99066666666664,183.01333333333332,174.46133333333333,182.87555555555556,182.99644444444445,4.6177777777777775
30,4034,0.0065538789818625,0.0026666666666666666,0.0,182.99066666666664,183.01333333333332,64.36311111111111,182.87555555555556,182.99644444444445,0.0
31,366,0.0085352842554488,183.036,183.0142222222222,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,182.99644444444445,4.6177777777777775
32,1826,0.0076207895137936,183.036,0.0,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,182.99644444444445,0.0
33,1117,0.0073159579332418,183.036,0.0008888888888888888,182.99066666666664,183.01333333333332,64.36311111111111,182.87555555555556,182.99644444444445,183.01466666666667
34,4741,0.007163542142966,183.036,183.0142222222222,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,182.99644444444445,183.01466666666667
35,6199,0.0068587105624142,183.036,0.0,182.99066666666664,183.01333333333332,5.187555555555556,182.87555555555556,182.99644444444445,183.01466666666667
36,91,0.0067062947721383,183.036,183.0142222222222,0.19999999999999998,183.01333333333332,174.46133333333333,182.87555555555556,182.99644444444445,183.01466666666667
37,5923,0.0062490474013107,183.036,0.0,0.19999999999999998,183.01333333333332,174.46133333333333,182.87555555555556,182.99644444444445,183.01466666666667
38,1305,0.0079256210943453,183.036,0.0008888888888888888,0.0,183.01333333333332,174.46133333333333,182.87555555555556,182.99644444444445,4.6177777777777775
39,4951,0.0074683737235177,183.036,183.0142222222222,0.0,183.01333333333332,174.46133333333333,182.87555555555556,182.99644444444445,183.01466666666667
40,5401,0.007163542142966,183.036,0.0008888888888888888,182.99066666666664,0.0,64.36311111111111,41.958666666666666,182.99644444444445,183.01466666666667
41,5581,0.0070111263526901,183.036,0.0008888888888888888,182.99066666666664,0.0,64.36311111111111,49.26666666666666,182.99644444444445,183.01466666666667
