LocalRep,GlobalIdx,Prob,spring_day,spring_night,summer_day,summer_night,fall_day,fall_night,winter_day,winter_night
0,3280,0.0096021947873799,13.416192307692308,3.345269230769231,28.73919230769231,0.0,37.07507692307693,0.0,11.901153846153846,0.0
1,1093,0.0097546105776558,45.562,3.345269230769231,28.73919230769231,0.0,37.07507692307693,0.0,11.901153846153846,0.0
2,5467,0.0080780368846212,107.9886923076923,3.345269230769231,28.73919230769231,0.0,37.07507692307693,0.0,11.901153846153846,0.0
3,3250,0.0074683737235177,13.416192307692308,3.345269230769231,28.73919230769231,0.0,84.17411538461538,0.0,26.293384615384618,0.0
4,3256,0.0073159579332418,13.416192307692308,3.345269230769231,28.73919230769231,0.0,84.17411538461538,0.0,110.0,0.0
5,2578,0.0076207895137936,13.416192307692308,1.633923076923077,28.73919230769231,0.0,19.18019230769231,0.0,11.901153846153846,0.0
6,4036,0.0070111263526901,13.416192307692308,0.0,28.73919230769231,0.0,19.18019230769231,0.0,11.901153846153846,0.0
7,2947,0.0088401158360006,13.416192307692308,3.345269230769231,48.92884615384616,0.0,37.07507692307693,0.0,11.901153846153846,0.0
8,3127,0.0096021947873799,13.416192307692308,3.345269230769231,48.92884615384616,12.813307692307692,37.07507692307693,0.0,11.901153846153846,0.0
9,3451,0.0096021947873799,13.416192307692308,3.345269230769231,95.76473076923077,0.0,37.07507692307693,0.0,11.901153846153846,0.0
10,3595,0.0089925316262764,13.416192307692308,3.345269230769231,95.76473076923077,12.813307692307692,37.07507692307693,0.0,11.901153846153846,0.0
11,778,0.0079256210943453,45.562,3.345269230769231,48.92884615384616,0.0,37.07507692307693,0.0,11.901153846153846,0.0
12,922,0.0082304526748971,45.562,3.345269230769231,48.92884615384616,12.813307692307692,37.07507692307693,0.0,11.901153846153846,0.0
13,1246,0.0089925316262764,45.562,3.345269230769231,95.76473076923077,0.0,37.07507692307693,0.0,11.901153846153846,0.0
14,1426,0.0088401158360006,45.562,3.345269230769231,95.76473076923077,12.813307692307692,37.07507692307693,0.0,11.901153846153846,0.0
15,5466,0.0064014631915866,107.9886923076923,3.345269230769231,28.73919230769231,0.0,37.07507692307693,0.0,11.901153846153846,0.0
16,5468,0.0076207895137936,107.9886923076923,3.345269230769231,28.73919230769231,0.0,37.07507692307693,0.0,11.901153846153846,0.0
17,2523,0.0097546105776558,13.416192307692308,1.633923076923077,28.73919230769231,0.0,84.17411538461538,0.0,11.901153846153846,0.0
18,2549,0.0088401158360006,13.416192307692308,1.633923076923077,28.73919230769231,0.0,37.07507692307693,0.0,26.293384615384618,0.0
19,4005,0.0086877000457247,13.416192307692308,0.0,28.73919230769231,0.0,37.07507692307693,0.0,26.293384615384618,0.0
20,3983,0.0092973632068282,13.416192307692308,0.0,28.73919230769231,0.0,84.17411538461538,0.0,11.901153846153846,0.0
21,3309,0.0089925316262764,13.416192307692308,3.345269230769231,28.73919230769231,0.0,19.18019230769231,0.0,110.0,0.0
22,3311,0.0088401158360006,13.416192307692308,3.345269230769231,28.73919230769231,0.0,19.18019230769231,0.0,110.0,0.0
23,5152,0.0074683737235177,107.9886923076923,3.345269230769231,48.92884615384616,0.0,37.07507692307693,0.0,11.901153846153846,0.0
24,5296,0.0080780368846212,107.9886923076923,3.345269230769231,48.92884615384616,12.813307692307692,37.07507692307693,0.0,11.901153846153846,0.0
