time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,G(i)_POA
20180105:0610,15.98,57.01,1.16,8.67,1.7,1.17,0,74.15
20180105:0710,84.44,146.5,3.2,16.86,2.84,1.66,0,234.14
20180105:0810,394.57,210.05,6.35,23.13,4.48,1.93,0,610.97
20180105:0910,121.45,238.62,5.35,26.88,6.1,1.59,0,365.42
20180105:1010,42.05,210.39,4.41,27.64,6.7,1.66,0,256.85
20180105:1110,29.46,183.1,3.8,25.31,6.98,2.14,0,216.36
20180105:1210,169.94,189.1,4.47,20.19,6.89,2.48,0,363.51
20180105:1310,67.13,107.03,2.3,12.85,6.37,2.83,0,176.46
20180105:1410,5.51,17.76,0.36,3.9,5.33,2.41,0,23.63
20180105:1510,0,0,0,0,4.33,2.14,0,0
20180105:1610,0,0,0,0,3.65,1.79,0,0
20180105:1710,0,0,0,0,2.57,1.45,0,0
20180105:1810,0,0,0,0,1.65,1.17,0,0
20180105:1910,0,0,0,0,2.23,0.9,0,0
20180105:2010,0,0,0,0,1.67,0.97,0,0
20180105:2110,0,0,0,0,0.38,1.31,0,0
20180105:2210,0,0,0,0,0.49,1.1,0,0
20180105:2310,0,0,0,0,1.19,0.76,0,0
20180106:0010,0,0,0,0,0.53,0.83,0,0
20180106:0110,0,0,0,0,-0.02,0.9,0,0
20180106:0210,0,0,0,0,-0.18,0.48,0,0
20180106:0310,0,0,0,0,-0.07,0.41,0,0
20180106:0410,0,0,0,0,-0.2,0.48,0,0
20180106:0510,0,0,0,0,0.03,0.48,0,0
20180106:0610,254.47,83.19,2.28,8.69,0.28,0.55,0,339.94
20180106:0710,461.75,127.88,5.08,16.9,0.7,0.07,0,594.71
20180106:0810,629.54,149.24,7.34,23.2,2.27,0.34,0,786.12
20180106:0910,717.1,161.82,8.63,26.98,4.21,0.34,0,887.55
20180106:1010,724.32,168.06,8.84,27.77,5.26,0.28,0,901.22
20180106:1110,231.01,243,5.99,25.44,6.22,0.14,0,480
20180106:1210,207.22,195.6,4.77,20.33,6.83,0.55,0,407.59
20180106:1310,7.68,76.86,1.56,13.01,6.6,0.76,0,86.1
20180106:1410,0,3.64,0.07,4.05,6.09,1.03,0,3.71
20180106:1510,0,0,0,0,4.79,1.1,0,0
20180106:1610,0,0,0,0,3.71,0.83,0,0
20180106:1710,0,0,0,0,3.49,0.62,0,0
20180106:1810,0,0,0,0,2,1.1,0,0
20180106:1910,0,0,0,0,1.69,1.31,0,0
20180106:2010,0,0,0,0,0.86,1.38,0,0
20180106:2110,0,0,0,0,0.21,1.52,0,0
20180106:2210,0,0,0,0,-0.32,1.59,0,0
20180106:2310,0,0,0,0,-0.82,1.66,0,0
20180107:0010,0,0,0,0,-1.06,1.66,0,0
20180107:0110,0,0,0,0,-1.16,1.66,0,0
20180107:0210,0,0,0,0,-1.37,1.66,0,0
20180107:0310,0,0,0,0,-1.62,1.72,0,0
20180107:0410,0,0,0,0,-1.91,1.79,0,0
20180107:0510,0,0,0,0,-2.18,1.86,0,0
20180107:0610,47.47,70.03,1.45,8.72,-1.83,1.66,0,118.95
20180107:0710,90.66,150.9,3.31,16.96,1.8,1.1,0,244.87
20180107:0810,96.56,205.35,4.52,23.28,4.5,1.45,0,306.43
20180107:0910,111.19,240.15,5.34,27.09,5.85,1.66,0,356.68
20180107:1010,41.81,213.08,4.47,27.89,6.67,1.59,0,259.36
20180107:1110,17.56,174.2,3.56,25.59,7.21,1.52,0,195.32
20180107:1210,27.36,149.21,3.09,20.49,7.42,1.52,0,179.66
20180107:1310,106.66,120.96,2.68,13.16,7.19,1.24,0,230.3
20180107:1410,51.61,29.79,0.65,4.21,6.33,0.76,0,82.05
20180107:1510,0,0,0,0,4.56,0.76,0,0
20180107:1610,0,0,0,0,3.09,1.03,0,0
20180107:1710,0,0,0,0,1.04,1.38,0,0
20180107:1810,0,0,0,0,-0.15,1.59,0,0
20180107:1910,0,0,0,0,-1.47,1.66,0,0
20180107:2010,0,0,0,0,-1.58,1.59,0,0
20180107:2110,0,0,0,0,-1.58,1.52,0,0
20180107:2210,0,0,0,0,-1.46,1.45,0,0
20180107:2310,0,0,0,0,-0.95,1.31,0,0
20180108:0010,0,0,0,0,-0.33,1.17,0,0
20180108:0110,0,0,0,0,-0.17,1.17,0,0
20180108:0210,0,0,0,0,0.64,0.97,0,0
20180108:0310,0,0,0,0,0.63,0.76,0,0
20180108:0410,0,0,0,0,0.58,0.9,0,0
