time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,G(i)_POA
20180415:1510,73.52,78.9,3.31,13.85,17.93,2.97,0,155.73
20180415:1610,0,3.43,0.07,2.38,16.27,2.28,0,3.5
20180415:1710,0,0,0,0,14.1,2.62,0,0
20180415:1810,0,0,0,0,12.45,2.69,0,0
20180415:1910,0,0,0,0,11.68,2.76,0,0
20180415:2010,0,0,0,0,10.63,2.62,0,0
20180415:2110,0,0,0,0,9.63,2.48,0,0
20180415:2210,0,0,0,0,8.55,2.34,0,0
20180415:2310,0,0,0,0,7.47,2.28,0,0
20180416:0010,0,0,0,0,6.43,2.21,0,0
20180416:0110,0,0,0,0,5.45,2.14,0,0
20180416:0210,0,0,0,0,4.57,2.14,0,0
20180416:0310,0,0,0,0,3.77,2.07,0,0
20180416:0410,0,24.54,0.49,10.36,3.76,1.79,0,25.03
20180416:0510,16.03,149.18,3.26,21.9,8.07,1.52,0,168.47
20180416:0610,110.8,262.28,6.89,33.26,10.83,2.14,0,379.97
20180416:0710,88.43,335.92,7.92,43.95,13.1,2.55,0,432.27
20180416:0810,238.51,403.73,11.27,53.13,14.77,2.28,0,653.51
20180416:0910,406.43,410.54,13.71,59.22,16.17,2,0,830.68
20180416:1010,224.05,446.22,11.85,60.15,17.31,1.72,0,682.12
20180416:1110,550.56,332.64,14.45,55.5,18.16,1.31,0,897.65
20180416:1210,386.99,323.38,11.97,47.08,18.71,0.97,0,722.34
20180416:1310,170.95,287.02,8.23,36.75,18.95,0.83,0,466.2
20180416:1410,23.77,180.94,4,25.54,18.82,0.9,0,208.71
20180416:1510,0.75,66.36,1.34,14.02,18.29,1.03,0,68.45
20180416:1610,0,4.28,0.09,2.56,16.59,1.38,0,4.37
20180416:1710,0,0,0,0,13.24,1.59,0,0
20180416:1810,0,0,0,0,10.7,1.93,0,0
20180416:1910,0,0,0,0,9.21,1.79,0,0
20180416:2010,0,0,0,0,7.83,1.93,0,0
20180416:2110,0,0,0,0,6.94,2,0,0
20180416:2210,0,0,0,0,6.4,1.93,0,0
20180416:2310,0,0,0,0,6.16,1.86,0,0
20180417:0010,0,0,0,0,6.15,1.72,0,0
20180417:0110,0,0,0,0,6.05,1.66,0,0
20180417:0210,0,0,0,0,5.45,1.79,0,0
20180417:0310,0,0,0,0,4.09,2.14,0,0
20180417:0410,0,40.91,0.81,10.63,4.02,2,0,41.72
20180417:0510,80.41,164.11,4.72,22.17,9.04,1.1,0,249.24
20180417:0610,320.93,203.33,9.15,33.53,14.58,1.24,0,533.41
20180417:0710,584.05,197.45,12.93,44.25,15.6,1.59,0,794.43
20180417:0810,709.04,228.06,15.17,53.46,17.11,1.59,0,952.27
20180417:0910,706.06,283.6,15.95,59.58,18.43,1.52,0,1005.61
20180417:1010,829.91,224.78,16.86,60.49,19.55,1.45,0,1071.55
20180417:1110,823.95,186.21,16.22,55.78,20.31,1.31,0,1026.38
20180417:1210,699.15,169.27,14.2,47.31,20.81,0.97,0,882.62
20180417:1310,503.33,152.39,11.12,36.94,20.92,0.62,0,666.84
20180417:1410,282.76,122.98,7.43,25.72,20.8,0.41,0,413.17
20180417:1510,81.55,76.28,3.53,14.2,20.29,0.34,0,161.36
20180417:1610,0,10.28,0.22,2.73,18.07,1.03,0,10.5
20180417:1710,0,0,0,0,14.82,1.93,0,0
20180417:1810,0,0,0,0,12.39,2.21,0,0
20180417:1910,0,0,0,0,10.81,2.14,0,0
20180417:2010,0,0,0,0,9.53,2.21,0,0
20180417:2110,0,0,0,0,8.55,2.07,0,0
20180417:2210,0,0,0,0,7.89,1.93,0,0
20180417:2310,0,0,0,0,7.67,1.93,0,0
20180418:0010,0,0,0,0,7.58,1.93,0,0
20180418:0110,0,0,0,0,7.4,1.93,0,0
20180418:0210,0,0,0,0,6.97,2.07,0,0
20180418:0310,0,0,0,0,6.37,2.21,0,0
20180418:0410,26.01,66.14,2.22,10.9,6.56,2.07,0,94.37
20180418:0510,192.87,122.74,6.06,22.44,11.36,1.17,0,321.67
20180418:0610,388.86,166.94,9.68,33.81,17,1.31,0,565.48
20180418:0710,597.62,184.49,12.98,44.54,18.59,1.59,0,795.09
20180418:0810,767.63,187.74,15.48,53.79,20.29,1.38,0,970.85
20180418:0910,851.54,197.24,16.82,59.93,21.56,0.97,0,1065.6
20180418:1010,886.64,185.81,17.16,60.83,22.49,0.76,0,1089.61
20180418:1110,821.54,181.23,16.17,56.06,23.13,0.83,0,1018.94
20180418:1210,658.2,184,13.85,47.54,23.44,0.83,0,856.05
20180418:1310,521.55,139.63,11.27,37.14,23.44,0.83,0,672.45
20180418:1410,312.5,106.08,7.72,25.89,23.15,0.9,0,426.3
20180418:1510,80.28,76.88,3.54,14.37,22.42,0.97,0,160.7
20180418:1610,0,11.13,0.24,2.91,20.18,1.24,0,11.37
20180418:1710,0,0,0,0,17.91,1.17,0,0
20180418:1810,0,0,0,0,17.12,1.1,0,0
20180418:1910,0,0,0,0,16.05,1.38,0,0
20180418:2010,0,0,0,0,13.71,1.72,0,0
20180418:2110,0,0,0,0,11.61,2.21,0,0
20180418:2210,0,0,0,0,10.57,2.21,0,0
20180418:2310,0,0,0,0,9.62,2.21,0,0
20180419:0010,0,0,0,0,9.04,2.21,0,0
20180419:0110,0,0,0,0,8.55,2.14,0,0
20180419:0210,0,0,0,0,7.8,2,0,0
20180419:0310,0,0,0,0,7.36,1.79,0,0
20180419:0410,23,69.08,2.19,11.16,7.49,1.59,0,94.27
20180419:0510,192.23,123.3,6.09,22.7,11.42,1.66,0,321.62
20180419:0610,386.56,168.41,9.71,34.08,13.98,2.41,0,564.68
20180419:0710,605.64,177.78,13.06,44.83,15.89,2.83,0,796.48
20180419:0810,749.86,195.53,15.39,54.11,17.47,3.17,0,960.78
20180419:0910,858.28,190.27,16.87,60.28,18.8,3.17,0,1065.42
20180419:1010,869.54,191.6,17.05,61.17,19.84,3.17,0,1078.19
20180419:1110,794.52,191.11,15.97,56.34,20.5,3.38,0,1001.6
20180419:1210,682.51,168.98,14.05,47.76,20.77,3.79,0,865.54
20180419:1310,489.95,152.11,11.01,37.33,20.64,4.07,0,653.07
20180419:1410,278.04,120.94,7.41,26.07,20.13,4.07,0,406.39
20180419:1510,87.68,71.87,3.67,14.54,19.13,3.86,0,163.22
20180419:1610,0,12.85,0.27,3.09,17.29,3.45,0,13.12
20180419:1710,0,0,0,0,14.91,3.45,0,0
20180419:1810,0,0,0,0,12.99,3.38,0,0
20180419:1910,0,0,0,0,12.11,2.62,0,0
20180419:2010,0,0,0,0,10.77,2.34,0,0
20180419:2110,0,0,0,0,9.67,2.34,0,0
20180419:2210,0,0,0,0,8.77,2.55,0,0
20180419:2310,0,0,0,0,7.99,2.48,0,0
20180420:0010,0,0,0,0,7.24,2.41,0,0
20180420:0110,0,0,0,0,6.47,2.21,0,0
20180420:0210,0,0,0,0,5.6,1.93,0,0
20180420:0310,0,0,0,0,4.65,1.79,0,0
20180420:0410,47.17,54.16,2.75,11.42,4.78,1.72,0,104.08
20180420:0510,239.08,99.53,6.6,22.96,8.03,2.62,0,345.21
20180420:0610,435.83,142.57,10.15,34.35,9.83,3.38,0,588.55
20180420:0710,520.37,224.13,12.53,45.12,11.8,3.24,0,757.03
20180420:0810,114.45,394.61,9.44,54.43,12.8,3.38,0,518.5
20180420:0910,53.92,392.63,8.55,60.63,12.97,3.79,0,455.1
20180420:1010,96.73,421.85,9.71,61.5,12.16,4.55,0,528.29
20180420:1110,15.62,327.01,6.73,56.61,10.66,4.9,0,349.36
20180420:1210,29.53,313.04,6.66,47.98,9.76,4.69,0,349.23
20180420:1310,0,153.62,3.06,37.51,8.93,4.28,0,156.68
20180420:1410,0,61.81,1.23,26.24,8.34,4.28,0,63.04
20180420:1510,21.24,99.49,2.53,14.71,7.78,3.86,0,123.26
20180420:1610,0,13.7,0.29,3.27,7.11,3.72,0,13.99
20180420:1710,0,0,0,0,6.44,3.38,0,0
20180420:1810,0,0,0,0,5.88,3.38,0,0
20180420:1910,0,0,0,0,5.32,3.59,0,0
20180420:2010,0,0,0,0,4.73,3.24,0,0
20180420:2110,0,0,0,0,4.04,3.03,0,0
20180420:2210,0,0,0,0,3.45,3.24,0,0
20180420:2310,0,0,0,0,2.97,3.17,0,0
20180421:0010,0,0,0,0,2.71,2.97,0,0
20180421:0110,0,0,0,0,2.41,2.76,0,0
20180421:0210,0,0,0,0,2.14,2.48,0,0
20180421:0310,0,0,0,0,1.91,2.34,0,0
20180421:0410,33.29,66.83,2.53,11.67,2.2,2.07,0,102.65
20180421:0510,174.75,136.5,6.08,23.21,4.2,2.97,0,317.33
20180421:0610,195.67,252.84,8.16,34.61,6.28,4,0,456.67
20180421:0710,289.18,325.21,10.76,45.4,8.67,5.17,0,625.15
20180421:0810,40.94,360.89,7.76,54.74,9.93,5.03,0,409.59
20180421:0910,165.61,438.69,11,60.97,10.24,4.83,0,615.3
20180421:1010,73.95,416.18,9.3,61.83,11.04,4.9,0,499.43
20180421:1110,286.71,408.71,12.15,56.88,12.19,4.9,0,707.57
20180421:1210,317.89,340.17,11.43,48.2,12.66,4.83,0,669.49
20180421:1310,82.45,286.42,6.96,37.7,12.86,4.69,0,375.83
20180421:1410,12.35,170.76,3.62,26.41,12.42,4.55,0,186.73
20180421:1510,38.36,99.75,3,14.88,11.91,4.48,0,141.11
20180421:1610,0,15.41,0.33,3.45,11.04,4,0,15.74
20180421:1710,0,0,0,0,9.35,3.79,0,0
20180421:1810,0,0,0,0,8.06,3.86,0,0
20180421:1910,0,0,0,0,6.91,3.1,0,0
20180421:2010,0,0,0,0,5.94,2.83,0,0
20180421:2110,0,0,0,0,5.08,2.48,0,0
20180421:2210,0,0,0,0,4.31,2.07,0,0
20180421:2310,0,0,0,0,3.31,1.79,0,0
20180422:0010,0,0,0,0,2.24,1.52,0,0
20180422:0110,0,0,0,0,2,1.31,0,0
20180422:0210,0,0,0,0,1.93,1.24,0,0
20180422:0310,0,0,0,0,2.35,1.03,0,0
20180422:0410,33.5,69.33,2.6,11.92,3.14,0.62,0,105.43
20180422:0510,217.45,115.87,6.56,23.46,5.52,0.48,0,339.88
20180422:0610,429.88,150.78,10.29,34.86,7.75,1.03,0,590.95
20180422:0710,628.32,172.63,13.51,45.68,9.31,1.45,0,814.46
20180422:0810,796.78,176.64,16.01,55.05,11.02,1.86,0,989.43
20180422:0910,871.66,189.15,17.25,61.31,12.57,2.14,0,1078.06
20180422:1010,893.97,182.99,17.49,62.15,13.99,2.48,0,1094.45
20180422:1110,826.72,179.46,16.48,57.15,15.06,2.76,0,1022.66
20180422:1210,701.11,163.65,14.45,48.42,15.85,2.9,0,879.21
20180422:1310,518.85,140.85,11.48,37.88,16.31,3.17,0,671.18
20180422:1410,293.03,115.9,7.76,26.58,16.42,3.31,0,416.69
20180422:1510,97.62,68.71,4,15.05,16.08,3.17,0,170.33
20180422:1610,0,16.27,0.34,3.62,14.69,2.41,0,16.61
20180422:1710,0,0,0,0,13.09,1.86,0,0
20180422:1810,0,0,0,0,11.44,1.31,0,0
20180422:1910,0,0,0,0,11.75,0.97,0,0
20180422:2010,0,0,0,0,11.98,0.76,0,0
20180422:2110,0,0,0,0,11.8,0.62,0,0
20180422:2210,0,0,0,0,11.45,0.55,0,0
20180422:2310,0,0,0,0,11,0.48,0,0
20180423:0010,0,0,0,0,10.52,0.48,0,0
20180423:0110,0,0,0,0,10.13,0.55,0,0
20180423:0210,0,0,0,0,9.78,0.55,0,0
20180423:0310,0,0,0,0,9.39,0.69,0,0
20180423:0410,35.3,69.04,2.68,12.17,9.3,0.83,0,107.02
20180423:0510,235.45,106.09,6.78,23.7,10.06,0.41,0,348.32
20180423:0610,440.67,144.41,10.42,35.12,14.68,1.03,0,595.5
20180423:0710,642.57,162.89,13.64,45.95,15.8,1.79,0,819.1
20180423:0810,792.46,176.1,15.99,55.36,17.43,2.69,0,984.55
20180423:0910,877.22,183.32,17.31,61.65,18.57,3.17,0,1077.85
20180423:1010,887.22,183.51,17.45,62.48,19.4,3.72,0,1088.18
20180423:1110,832.19,173.65,16.53,57.42,19.87,4.07,0,1022.37
20180423:1210,705.44,157.9,14.49,48.63,19.96,4.14,0,877.83
20180423:1310,521.09,138.36,11.54,38.06,19.92,3.86,0,670.99
20180423:1410,293.54,115.47,7.81,26.75,19.75,3.38,0,416.82
20180423:1510,98.96,67.45,4.05,15.21,19.28,2.62,0,170.46
20180423:1610,0,17.13,0.36,3.8,17.88,1.31,0,17.49
20180423:1710,0,0,0,0,15.55,1.31,0,0
20180423:1810,0,0,0,0,12.95,2.34,0,0
20180423:1910,0,0,0,0,11.34,2.28,0,0
20180423:2010,0,0,0,0,10.24,2.62,0,0
20180423:2110,0,0,0,0,9.2,2.48,0,0
20180423:2210,0,0,0,0,8.22,2.21,0,0
20180423:2310,0,0,0,0,7.73,2,0,0
20180424:0010,0,0,0,0,7.48,1.86,0,0
20180424:0110,0,0,0,0,7.2,1.86,0,0
20180424:0210,0,0,0,0,7.1,1.79,0,0
20180424:0310,0,0,0,0,6.85,1.86,0,0
20180424:0410,49.08,61.2,3.04,12.41,7.47,1.72,0,113.32
20180424:0510,243.47,104.82,6.96,23.94,11.46,1.24,0,355.25
20180424:0610,460.43,137.16,10.69,35.37,15.49,2,0,608.28
20180424:0710,641.81,166.68,13.74,46.22,16.75,2.28,0,822.23
20180424:0810,801.33,175.82,16.19,55.66,17.99,2,0,993.34
20180424:0910,886.08,183.04,17.51,61.98,19.07,1.52,0,1086.63
20180424:1010,896.06,183.23,17.65,62.8,19.93,1.24,0,1096.94
20180424:1110,851.92,167,16.8,57.68,20.59,1.24,0,1035.72
20180424:1210,741.98,141.91,14.88,48.84,20.96,1.31,0,898.77
20180424:1310,527.43,136.97,11.68,38.25,21.06,1.38,0,676.08
20180424:1410,294.06,116.02,7.88,26.92,20.85,1.45,0,417.96
20180424:1510,98.26,68.89,4.11,15.38,20.38,1.45,0,171.26
20180424:1610,0,17.98,0.38,3.97,18.83,1.31,0,18.36
20180424:1710,0,0,0,0,16.42,1.17,0,0
20180424:1810,0,0,0,0,14.2,1.45,0,0
20180424:1910,0,0,0,0,13.58,1.45,0,0
20180424:2010,0,0,0,0,11.87,1.66,0,0
20180424:2110,0,0,0,0,10.58,1.79,0,0
20180424:2210,0,0,0,0,9.72,1.86,0,0
20180424:2310,0,0,0,0,8.94,1.93,0,0
20180425:0010,0,0,0,0,8.53,1.86,0,0
20180425:0110,0,0,0,0,8.07,1.86,0,0
20180425:0210,0,0,0,0,7.46,1.93,0,0
20180425:0310,0,0,0,0,7.01,1.93,0,0
20180425:0410,45.03,65.05,2.98,12.65,7.8,1.59,0,113.06
20180425:0510,241.72,105.41,6.98,24.18,12.14,0.76,0,354.11
20180425:0610,449.94,140.65,10.62,35.61,17.04,1.24,0,601.21
20180425:0710,635.79,167.17,13.71,46.48,18.75,1.03,0,816.67
20180425:0810,792.73,176.31,16.11,55.95,20.11,0.55,0,985.15
20180425:0910,865.15,188.76,17.33,62.31,20.98,0.62,0,1071.24
20180425:1010,862.93,195.27,17.38,63.11,21.64,0.9,0,1075.58
20180425:1110,755.61,214.37,16.1,57.94,22.13,1.31,0,986.08
20180425:1210,668.12,175.52,14.29,49.05,22.36,1.72,0,857.93
20180425:1310,389.84,207.74,10.62,38.42,22.34,2,0,608.2
20180425:1410,298.28,112.71,7.96,27.08,21.96,2,0,418.95
20180425:1510,94.31,70.52,4.07,15.54,21.37,2.07,0,168.9
20180425:1610,0,18.84,0.4,4.15,19.73,1.86,0,19.24
20180425:1710,0,0,0,0,17.2,1.72,0,0
20180425:1810,0,0,0,0,14.65,1.93,0,0
20180425:1910,0,0,0,0,13.29,2.28,0,0
20180425:2010,0,0,0,0,12.08,2.48,0,0
20180425:2110,0,0,0,0,11.08,2.48,0,0
20180425:2210,0,0,0,0,10.33,2.48,0,0
20180425:2310,0,0,0,0,9.77,2.55,0,0
20180426:0010,0,0,0,0,9.38,2.55,0,0
20180426:0110,0,0,0,0,8.85,2.48,0,0
20180426:0210,0,0,0,0,8.21,2.34,0,0
20180426:0310,0,0.86,0.02,1.58,7.52,2.21,0,0.88
20180426:0410,0,41.81,0.83,12.88,8.23,1.79,0,42.64
20180426:0510,86.41,176.37,5.23,24.41,13.48,1.66,0,268.01
20180426:0610,352.86,192.29,9.87,35.85,16.97,2.41,0,555.02
20180426:0710,515.91,231.3,12.88,46.74,19.37,2.55,0,760.09
20180426:0810,497.87,326.98,14.03,56.24,21.18,2.34,0,838.88
20180426:0910,717.03,267.2,16.33,62.63,21.99,1.59,0,1000.56
20180426:1010,839.97,203.03,17.2,63.42,22.69,1.24,0,1060.2
20180426:1110,691.66,246.18,15.66,58.19,23.15,1.24,0,953.5
20180426:1210,624.73,197.32,14,49.25,23.48,1.38,0,836.05
20180426:1310,429.35,183.24,10.91,38.6,23.42,1.45,0,623.5
20180426:1410,210.16,158.15,7.14,27.25,23.24,1.66,0,375.45
20180426:1510,4.56,93.42,1.99,15.71,22.54,1.79,0,99.97
20180426:1610,0,12.85,0.27,4.32,20.94,1.38,0,13.12
20180426:1710,0,0,0,0,18.36,1.38,0,0
20180426:1810,0,0,0,0,16.25,1.52,0,0
20180426:1910,0,0,0,0,14.33,2,0,0
20180426:2010,0,0,0,0,13.15,2.41,0,0
20180426:2110,0,0,0,0,12.26,2.69,0,0
20180426:2210,0,0,0,0,11.74,2.69,0,0
20180426:2310,0,0,0,0,11.21,2.55,0,0
20180427:0010,0,0,0,0,10.59,2.48,0,0
20180427:0110,0,0,0,0,9.99,2.41,0,0
20180427:0210,0,0,0,0,9.39,2.28,0,0
20180427:0310,0,0.86,0.02,1.82,8.92,2.07,0,0.88
20180427:0410,59.52,55.52,3.36,13.11,9.62,1.66,0,118.4
20180427:0510,73.67,179.39,5.05,24.64,13.45,1.24,0,258.11
20180427:0610,392.67,169.98,10.22,36.09,18.01,1.79,0,572.87
20180427:0710,617.68,172.25,13.6,47,20.22,2.34,0,803.53
20180427:0810,770.42,182.56,15.97,56.53,21.86,2.55,0,968.95
20180427:0910,852.28,188.73,17.23,62.95,22.79,2.62,0,1058.24
20180427:1010,601.4,329.85,15.63,63.73,23.56,2.76,0,946.88
20180427:1110,567.48,307.59,14.79,58.45,23.97,2.9,0,889.86
20180427:1210,455.65,282.5,12.77,49.46,24.17,3.17,0,750.92
20180427:1310,517.93,134.53,11.65,38.78,24.01,3.24,0,664.11
20180427:1410,295.7,111.87,7.99,27.41,23.62,3.52,0,415.56
20180427:1510,60.4,93.8,3.64,15.87,22.68,4.21,0,157.84
20180427:1610,0,17.98,0.38,4.5,20.89,3.86,0,18.36
20180427:1710,0,0,0,0,18.93,3.72,0,0
20180427:1810,0,0,0,0,17.57,3.79,0,0
20180427:1910,0,0,0,0,16.54,3.66,0,0
20180427:2010,0,0,0,0,15.43,3.38,0,0
20180427:2110,0,0,0,0,14.56,3.17,0,0
20180427:2210,0,0,0,0,13.72,2.9,0,0
20180427:2310,0,0,0,0,12.9,2.69,0,0
20180428:0010,0,0,0,0,12.09,2.55,0,0
20180428:0110,0,0,0,0,11.31,2.41,0,0
20180428:0210,0,0,0,0,10.49,2.28,0,0
20180428:0310,0,0.86,0.02,2.06,9.61,2.21,0,0.88
20180428:0410,37.84,76.09,2.98,13.34,9.88,1.79,0,116.91
20180428:0510,230.71,112.89,7.02,24.87,14.14,2,0,350.62
20180428:0610,443.94,144.39,10.72,36.32,16.58,3.17,0,599.05
20180428:0710,634.94,166.91,13.85,47.24,18.61,3.79,0,815.7
20180428:0810,790.12,176.06,16.24,56.81,20,3.86,0,982.42
20180428:0910,861.23,188.48,17.43,63.26,21.13,3.79,0,1067.14
20180428:1010,881.95,182.37,17.65,64.04,21.99,3.72,0,1081.97
20180428:1110,837.72,166.2,16.8,58.7,22.64,3.72,0,1020.72
20180428:1210,710.1,151.59,14.76,49.66,23.04,3.66,0,876.45
20180428:1310,518.24,136.17,11.74,38.95,23.14,3.66,0,666.15
20180428:1410,284.57,119.12,7.96,27.57,22.85,3.72,0,411.65
20180428:1510,93.91,72.23,4.21,16.04,22.28,3.66,0,170.35
20180428:1610,0,21.41,0.45,4.67,20.83,2.69,0,21.86
20180428:1710,0,0,0,0,18.59,2.55,0,0
20180428:1810,0,0,0,0,16.86,2.69,0,0
20180428:1910,0,0,0,0,15.71,2.55,0,0
20180428:2010,0,0,0,0,14.54,2.83,0,0
20180428:2110,0,0,0,0,13.67,2.9,0,0
20180428:2210,0,0,0,0,12.87,2.97,0,0
20180428:2310,0,0,0,0,12.08,2.9,0,0
20180429:0010,0,0,0,0,11.36,2.83,0,0
20180429:0110,0,0,0,0,10.6,2.62,0,0
20180429:0210,0,0,0,0,9.7,2.28,0,0
20180429:0310,0,0.86,0.02,2.29,8.57,2,0,0.88
20180429:0410,55.54,62.47,3.4,13.56,8.78,1.45,0,121.41
20180429:0510,252.26,103.12,7.32,25.08,12.89,1.52,0,362.7
20180429:0610,458.38,138.14,10.92,36.54,15.32,2.14,0,607.44
20180429:0710,644.79,162.46,14,47.49,17.74,1.93,0,821.25
20180429:0810,802.2,169.41,16.38,57.09,19.47,1.86,0,987.99
20180429:0910,874.49,180.71,17.58,63.57,20.78,1.93,0,1072.78
20180429:1010,883.19,181.98,17.72,64.34,21.87,2.07,0,1082.89
20180429:1110,838.9,164.74,16.86,58.94,22.68,2.14,0,1020.5
20180429:1210,729.17,141.9,14.97,49.86,23.21,2.14,0,886.04
20180429:1310,525.57,132.78,11.86,39.12,23.43,2.14,0,670.21
20180429:1410,296.88,113.01,8.14,27.74,23.34,2.28,0,418.03
20180429:1510,100.93,68.06,4.38,16.2,22.9,2.21,0,173.37
20180429:1610,0,22.27,0.47,4.84,21.56,1.59,0,22.74
20180429:1710,0,0,0,0,18.82,1.59,0,0
20180429:1810,0,0,0,0,16.14,1.79,0,0
20180429:1910,0,0,0,0,15.09,1.59,0,0
20180429:2010,0,0,0,0,13.48,1.79,0,0
20180429:2110,0,0,0,0,11.67,2.14,0,0
20180429:2210,0,0,0,0,10.79,2.34,0,0
20180429:2310,0,0,0,0,10.09,2.28,0,0
20180430:0010,0,0,0,0,9.24,2.07,0,0
20180430:0110,0,0,0,0,8.46,2.07,0,0
20180430:0210,0,0,0,0,7.78,2,0,0
20180430:0310,0,1.71,0.04,2.51,7.13,2,0,1.75
20180430:0410,59.56,60.19,3.53,13.78,8.61,1.59,0,123.28
20180430:0510,265.05,97.09,7.52,25.3,13.97,1.66,0,369.66
20180430:0610,460.99,137.78,11.01,36.76,17.04,2.28,0,609.78
20180430:0710,647.32,162.1,14.09,47.73,19.18,1.72,0,823.51
20180430:0810,804.6,169.04,16.48,57.36,20.95,1.66,0,990.12
20180430:0910,876.87,180.35,17.67,63.88,22.2,1.86,0,1074.89
20180430:1010,885.54,180.53,17.8,64.63,23.14,2.14,0,1083.87
20180430:1110,851.91,159.14,17.04,59.18,23.8,2.21,0,1028.09
20180430:1210,721.96,145.67,14.97,50.05,24.2,2.14,0,882.6
20180430:1310,519.93,136.4,11.88,39.29,24.36,2,0,668.21
20180430:1410,294.83,113.58,8.16,27.9,24.24,1.79,0,416.57
20180430:1510,99.12,69.59,4.39,16.36,23.71,1.52,0,173.1
20180430:1610,0,22.27,0.47,5.01,22.05,1.03,0,22.74
20180430:1710,0,0,0,0,20.83,0.9,0,0
20180430:1810,0,0,0,0,17.98,1.24,0,0
20180430:1910,0,0,0,0,14.47,2,0,0
20180430:2010,0,0,0,0,13.11,2.07,0,0
20180430:2110,0,0,0,0,11.88,2.28,0,0
20180430:2210,0,0,0,0,11.05,2.41,0,0
20180430:2310,0,0,0,0,10.23,2.34,0,0
20180501:0010,0,0,0,0,9.53,2.34,0,0
20180501:0110,0,0,0,0,8.89,2.34,0,0
20180501:0210,0,0,0,0,8.24,2.21,0,0
20180501:0310,0,3.43,0.07,2.74,7.63,2.07,0,3.5
20180501:0410,56.13,63.9,3.49,13.99,9.24,1.52,0,123.52
20180501:0510,238.87,109.11,7.23,25.51,14.67,1.1,0,355.21
20180501:0610,442.22,143.2,10.81,36.98,18.44,1.45,0,596.23
20180501:0710,637.47,161.55,13.96,47.96,20.5,1.38,0,812.98
20180501:0810,802.75,163.29,16.4,57.62,22.24,1.1,0,982.44
20180501:0910,836.11,195.4,17.31,64.18,23.38,0.83,0,1048.82
20180501:1010,750.72,251.02,16.84,64.93,23.93,0.55,0,1018.58
20180501:1110,633.94,274.3,15.46,59.42,24.34,0.34,0,923.7
20180501:1210,111.5,367.73,9.02,50.25,24.55,0.55,0,488.25
20180501:1310,183,287.13,8.77,39.46,24.73,1.03,0,478.9
20180501:1410,112.02,200.45,6.19,28.05,24.27,1.31,0,318.66
20180501:1510,89.41,75.15,4.25,16.52,23.94,1.59,0,168.81
20180501:1610,0,24.83,0.52,5.18,22.59,1.52,0,25.35
20180501:1710,0,0,0,0,19.97,1.38,0,0
20180501:1810,0,0,0,0,18.36,1.31,0,0
20180501:1910,0,0,0,0,16.08,1.52,0,0
20180501:2010,0,0,0,0,14.79,1.72,0,0
20180501:2110,0,0,0,0,13.45,2.21,0,0
20180501:2210,0,0,0,0,12.35,2.34,0,0
20180501:2310,0,0,0,0,11.55,2.28,0,0
20180502:0010,0,0,0,0,10.76,2.14,0,0
20180502:0110,0,0,0,0,9.99,2.07,0,0
20180502:0210,0,0,0,0,9.34,2.07,0,0
20180502:0310,0,2.57,0.05,2.95,8.91,2.14,0,2.62
20180502:0410,37.62,80.17,3.11,14.2,10.16,1.66,0,120.9
20180502:0510,223.94,116.33,7.09,25.71,15.58,1.59,0,347.36
20180502:0610,293.08,221.13,9.57,37.19,18.7,2.28,0,523.78
20180502:0710,185.23,350.08,9.87,48.19,20.57,1.93,0,545.18
20180502:0810,659.86,237.02,15.34,57.88,22.21,2.21,0,912.22
20180502:0910,0,116.35,2.31,64.48,23.39,2.07,0,118.66
20180502:1010,0,84.54,1.68,65.22,24.13,1.86,0,86.22
20180502:1110,30.89,361.17,7.65,59.66,24.64,1.59,0,399.71
20180502:1210,0,143.63,2.86,50.44,24.9,1.24,0,146.49
20180502:1310,0.98,187.31,3.74,39.63,24.95,0.76,0,192.03
20180502:1410,0,79.08,1.57,28.21,24.31,0.14,0,80.65
20180502:1510,4.84,99.64,2.13,16.68,23.55,1.03,0,106.61
20180502:1610,0,11.13,0.24,5.35,19.97,1.52,0,11.37
20180502:1710,0,0,0,0,17.51,2.41,0,0
20180502:1810,0,0,0,0,16.8,1.66,0,0
20180502:1910,0,0,0,0,14.69,1.52,0,0
20180502:2010,0,0,0,0,13.86,0.76,0,0
20180502:2110,0,0,0,0,13.77,0,0,0
20180502:2210,0,0,0,0,11.88,0.9,0,0
20180502:2310,0,0,0,0,10.79,1.31,0,0
20180503:0010,0,0,0,0,10.21,1.38,0,0
20180503:0110,0,0,0,0,9.91,1.31,0,0
20180503:0210,0,0,0,0,9.78,1.31,0,0
20180503:0310,0,1.71,0.04,3.17,9.74,1.24,0,1.75
20180503:0410,37.33,81.86,3.15,14.4,11.26,0.83,0,122.34
20180503:0510,186.71,139.31,6.76,25.91,14.98,1.03,0,332.78
20180503:0610,401.44,162.76,10.51,37.39,17.32,1.31,0,574.71
20180503:0710,593.48,179.72,13.62,48.41,18.55,1.45,0,786.82
20180503:0810,764.32,175.79,16.08,58.14,19.99,2.07,0,956.19
20180503:0910,802.66,205.7,17.04,64.77,20.68,2.28,0,1025.4
20180503:1010,291.85,433.78,12.95,65.5,21.66,2.34,0,738.58
20180503:1110,433.09,359.94,13.83,59.89,22.54,2.41,0,806.86
20180503:1210,0,162.71,3.24,50.63,22.88,2.34,0,165.95
20180503:1310,294.87,244.85,9.96,39.79,22.98,2.41,0,549.68
