DateTime,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Energy_from_ActivePower (kWh)
2018-01-01 00:00:00,380.047790527343,5.31133604049682,416.328907824861,259.994903564453,380.047790527343
2018-01-01 01:00:00,447.605712890625,5.79300785064697,557.372363290225,266.163604736328,447.605712890625
2018-01-01 02:00:00,710.587280273437,6.54741382598876,824.662513585882,274.23291015625,710.587280273437
2018-01-01 03:00:00,736.647827148437,6.41508293151855,773.172863451736,261.15869140625,736.647827148437
2018-01-01 04:00:00,1493.80798339843,7.94310188293457,1497.58372354361,256.407409667968,1493.80798339843
2018-01-01 05:00:00,1164.89294433593,7.09829807281494,1060.85971215544,235.22790527343696,1164.89294433593
2018-01-01 06:00:00,1114.02697753906,7.2392520904541,1127.43320551345,248.401000976562,1114.02697753906
2018-01-01 07:00:00,909.887817382812,6.88782119750976,966.279104864065,235.84829711914,909.887817382812
2018-01-01 08:00:00,585.259399414062,5.81682586669921,564.927659543473,240.328796386718,585.259399414062
2018-01-01 09:00:00,725.868103027343,6.19436883926391,691.546334303948,199.84849548339798,725.868103027343
2018-01-01 10:00:00,881.062072753906,6.66665792465209,872.739625855708,235.66749572753898,881.062072753906
2018-01-01 11:00:00,233.990600585937,4.55453395843505,233.632780531927,234.105606079101,233.990600585937
2018-01-01 12:00:00,194.181198120117,4.32376098632812,185.598479588255,227.03999328613196,194.181198120117
2018-01-01 13:00:00,346.86441040039,5.00293922424316,336.721998240131,235.27949523925696,346.86441040039
2018-01-01 14:00:00,589.073120117187,5.98137807846069,618.731442665699,234.98440551757798,589.073120117187
2018-01-01 15:00:00,1616.84594726562,8.28225994110107,1695.53877696245,236.46139526367097,1616.84594726562
2018-01-01 16:00:00,2812.27905273437,10.6475200653076,3133.25922420184,224.68060302734298,2812.27905273437
2018-01-01 17:00:00,2118.38989257812,9.09868335723876,2207.79281988587,223.960906982421,2118.38989257812
2018-01-01 18:00:00,1958.13305664062,9.218843460083,2285.9170315439,212.17990112304597,1958.13305664062
2018-01-01 19:00:00,2584.6650390625,10.4647703170776,3048.82383278559,205.75289916992097,2584.6650390625
2018-01-01 20:00:00,3209.01806640625,11.3635396957397,3386.24448582472,199.80549621582,3209.01806640625
2018-01-01 21:00:00,3604.2099609375,12.9281396865844,3597.46946747004,201.58259582519497,3604.2099609375
2018-01-01 22:00:00,3479.40795898437,12.963939666748,3597.79463518254,201.340896606445,3479.40795898437
2018-01-01 23:00:00,3570.0791015625,12.418809890747,3572.55614292551,202.411804199218,3570.0791015625
2018-01-02 00:00:00,3377.64990234375,12.7053899765014,3591.30046108295,196.04220581054597,3377.64990234375
2018-01-02 01:00:00,3467.80810546875,12.0960702896118,3536.10513948266,197.95269775390597,3467.80810546875
2018-01-02 02:00:00,3604.17602539062,14.1024198532104,3600.0,196.25520324707,3604.17602539062
2018-01-02 03:00:00,3395.23291015625,13.7423295974731,3600.0,191.01370239257798,3395.23291015625
2018-01-02 04:00:00,3513.84497070312,12.5986604690551,3585.76741417889,196.04229736328097,3513.84497070312
2018-01-02 05:00:00,3555.30493164062,12.5416202545166,3582.11109582746,200.36340332031196,3555.30493164062
2018-01-02 06:00:00,3235.5439453125,11.6793298721313,3463.03160296846,200.703506469726,3235.5439453125
2018-01-02 07:00:00,3417.74609375,11.9781303405761,3518.50824711723,199.402206420898,3417.74609375
2018-01-02 08:00:00,3375.17700195312,11.5208196640014,3426.92247226978,195.85470581054597,3375.17700195312
2018-01-02 09:00:00,2978.31005859375,10.7728996276855,3186.225079135,193.17039489746,2978.31005859375
2018-01-02 10:00:00,3597.56494140625,15.124059677124,3600.0,196.34559631347597,3597.56494140625
2018-01-02 11:00:00,3601.8701171875,15.8617496490478,3600.0,195.04029846191398,3601.8701171875
2018-01-02 12:00:00,3537.67602539062,13.3228101730346,3600.0,203.28939819335898,3537.67602539062
2018-01-02 13:00:00,1278.89501953125,9.0723066329956,2190.70476314143,198.23640441894497,1278.89501953125
2018-01-02 14:00:00,3111.06005859375,10.907259941101,3238.7061584522,204.81379699706997,3111.06005859375
2018-01-02 15:00:00,3298.76196289062,11.399299621582,3395.92916518786,205.62499999999997,3298.76196289062
