DateTime,load_PJME_MW,solar_G_i__POA,solar_T2m,wind_Energy_scaled_MW,eta_eff,eta_eff_pct,P_150MW_adj_MW,P_110MW_adj_MW,CF_150MW,CF_110MW,CF_Wind
2018-01-01 00:00:00,2253.68,0.0,-0.29,18.871291417697428,0.202935766,20.293576599999998,0.0,0.0,0.0,0.0,0.09435645708848714
2018-01-01 01:00:00,2150.32,0.0,-1.11,22.22588331973862,0.20357979399999998,20.357979399999998,0.0,0.0,0.0,0.0,0.1111294165986931
2018-01-01 02:00:00,2067.84,0.0,-1.55,35.284245765886894,0.20392537000000002,20.392537,0.0,0.0,0.0,0.0,0.17642122882943448
2018-01-01 03:00:00,2003.1200000000001,0.0,-2.18,36.578283481249706,0.204420172,20.442017200000002,0.0,0.0,0.0,0.0,0.18289141740624854
2018-01-01 04:00:00,1970.96,0.0,-2.17,74.17510765601075,0.20441231799999998,20.441231799999997,0.0,0.0,0.0,0.0,0.37087553828005376
2018-01-01 05:00:00,1969.2,0.0,-1.85,57.84281548507339,0.20416098999999996,20.416098999999996,0.0,0.0,0.0,0.0,0.2892140774253669
2018-01-01 06:00:00,1997.8400000000001,168.55,-1.66,55.31706344390321,0.19665736566666667,19.665736566666666,111.62369538276165,81.85737661402521,0.744157969218411,0.744157969218411,0.27658531721951607
2018-01-01 07:00:00,2054.08,333.25,-1.12,45.18052357420121,0.1890468396666667,18.904683966666667,127.9844783524852,93.8552841251558,0.8532298556832346,0.8532298556832346,0.22590261787100605
2018-01-01 08:00:00,2095.76,419.72,-0.38,29.061083780974442,0.18469266933333334,18.469266933333333,139.11148344526612,102.01508785986181,0.9274098896351074,0.9274098896351074,0.14530541890487222
2018-01-01 09:00:00,2124.8,759.19,0.46,36.04301575871071,0.16922072566666668,16.922072566666667,145.00471066110435,106.3367878181432,0.966698071074029,0.966698071074029,0.18021507879355356
2018-01-01 10:00:00,2135.04,545.11,1.07,43.74917983064359,0.17808265566666667,17.808265566666666,145.66415999999998,106.82038399999998,0.9710943999999999,0.9710943999999998,0.21874589915321796
2018-01-01 11:00:00,2125.36,801.74,1.67,11.618814587850014,0.1664137933333333,16.64137933333333,141.089831461953,103.46587640543218,0.94059887641302,0.9405988764130199,0.05809407293925007
2018-01-01 12:00:00,2115.84,683.96,2.22,9.642076783232145,0.17112095733333332,17.112095733333334,131.28172504696334,96.27326503443979,0.8752115003130889,0.875211500313089,0.048210383916160726
2018-01-01 13:00:00,2092.96,409.27,2.17,17.223569072749587,0.18314586766666668,18.314586766666668,116.23984075503112,85.24254988702282,0.7749322717002075,0.7749322717002074,0.08611784536374793
2018-01-01 14:00:00,2070.4,65.76,1.92,29.250454266919157,0.198330704,19.8330704,95.96417858615621,70.37373096318122,0.6397611905743747,0.6397611905743747,0.14625227133459578
2018-01-01 15:00:00,2067.68,0.0,0.67,80.28456370193618,0.202181782,20.2181782,0.0,0.0,0.0,0.0,0.40142281850968087
2018-01-01 16:00:00,2100.0,0.0,0.39,139.643852364978,0.20240169400000002,20.240169400000003,0.0,0.0,0.0,0.0,0.6982192618248899
2018-01-01 17:00:00,2228.32,0.0,-0.11,105.18875256102896,0.20279439400000002,20.2794394,0.0,0.0,0.0,0.0,0.5259437628051448
2018-01-01 18:00:00,2469.44,0.0,-0.53,97.23119162255246,0.20312426199999997,20.312426199999997,0.0,0.0,0.0,0.0,0.4861559581127623
2018-01-01 19:00:00,2515.36,0.0,-0.65,128.3416675087169,0.20321851,20.321851,0.0,0.0,0.0,0.0,0.6417083375435846
2018-01-01 20:00:00,2515.84,0.0,-1.07,159.34394727510283,0.203548378,20.3548378,0.0,0.0,0.0,0.0,0.7967197363755142
2018-01-01 21:00:00,2499.68,0.0,-1.02,178.96721990948114,0.20350910800000002,20.3509108,0.0,0.0,0.0,0.0,0.8948360995474057
2018-01-01 22:00:00,2442.08,0.0,-1.2,172.77017046708974,0.20365048,20.365047999999998,0.0,0.0,0.0,0.0,0.8638508523354487
2018-01-01 23:00:00,2336.7200000000003,0.0,-1.36,177.27245043665158,0.203776144,20.3776144,0.0,0.0,0.0,0.0,0.8863622521832579
2018-01-02 00:00:00,2209.36,0.0,-1.01,167.71736924359323,0.203501254,20.3501254,0.0,0.0,0.0,0.0,0.8385868462179661
2018-01-02 01:00:00,2097.28,0.0,-0.94,172.19417917980422,0.20344627599999998,20.3446276,0.0,0.0,0.0,0.0,0.8609708958990211
2018-01-02 02:00:00,2030.48,0.0,-1.1,178.9655348382597,0.20357193999999998,20.357193999999996,0.0,0.0,0.0,0.0,0.8948276741912986
2018-01-02 03:00:00,1996.96,0.0,-1.17,168.59045434683492,0.203626918,20.3626918,0.0,0.0,0.0,0.0,0.8429522717341746
2018-01-02 04:00:00,1989.8400000000001,0.0,-1.85,174.48014194935374,0.20416098999999996,20.416098999999996,0.0,0.0,0.0,0.0,0.8724007097467686
2018-01-02 05:00:00,2025.04,0.0,-2.97,176.53883831470367,0.20504063799999997,20.504063799999997,0.0,0.0,0.0,0.0,0.8826941915735184
2018-01-02 06:00:00,2108.32,341.01,-2.58,160.66109107498076,0.18985492899999998,18.985492899999997,127.9353674011753,93.81926942752854,0.8529024493411687,0.8529024493411685,0.8033054553749038
2018-01-02 07:00:00,2215.92,599.67,1.21,169.70834756691724,0.175592065,17.5592065,136.45631243779872,100.06796245438571,0.9097087495853248,0.9097087495853247,0.8485417378345862
2018-01-02 08:00:00,2299.68,785.05,4.22,167.59457725510737,0.16513926366666667,16.513926366666666,142.25142621647728,104.31771255875,0.9483428414431819,0.9483428414431818,0.8379728862755368
2018-01-02 09:00:00,2374.56,876.16,5.72,147.88812999016358,0.15998573066666666,15.998573066666665,145.32070873721105,106.56851974062143,0.9688047249147403,0.9688047249147402,0.7394406499508179
2018-01-02 10:00:00,2474.32,894.69,6.79,178.63726114330467,0.158336827,15.8336827,145.66415999999998,106.82038399999998,0.9710943999999999,0.9710943999999998,0.8931863057165234
2018-01-02 11:00:00,2550.2400000000002,794.6,7.53,178.85103485492036,0.16212289133333332,16.212289133333332,143.2817800048441,105.07330533688567,0.9552118666989607,0.9552118666989606,0.8942551742746018
2018-01-02 12:00:00,2593.44,627.14,7.95,175.6634741223283,0.16909986133333332,16.909986133333334,138.1735687517434,101.32728375127849,0.9211571250116227,0.9211571250116226,0.8783173706116415
2018-01-02 13:00:00,2598.2400000000002,318.08,7.78,63.503594042022684,0.18271869733333335,18.271869733333336,130.3395262406979,95.58231924317845,0.868930174937986,0.8689301749379859,0.3175179702101134
2018-01-02 14:00:00,2590.0,38.58,6.42,154.4798376599365,0.195982358,19.5982358,119.77965247170754,87.83841181258552,0.7985310164780502,0.7985310164780501,0.7723991882996825
2018-01-02 15:00:00,2580.32,0.0,4.49,163.80018479503747,0.19918155399999998,19.9181554,0.0,0.0,0.0,0.0,0.8190009239751873
2018-01-02 16:00:00,2594.2400000000002,0.0,3.08,173.49369640733954,0.20028896799999998,20.0288968,0.0,0.0,0.0,0.0,0.8674684820366977
2018-01-02 17:00:00,2699.36,0.0,2.01,178.8891611066515,0.20112934600000001,20.112934600000003,0.0,0.0,0.0,0.0,0.8944458055332575
2018-01-02 18:00:00,2843.04,0.0,1.16,174.56778989848505,0.201796936,20.1796936,0.0,0.0,0.0,0.0,0.8728389494924252
2018-01-02 19:00:00,2814.2400000000002,0.0,0.65,152.0306048241485,0.20219748999999998,20.219748999999997,0.0,0.0,0.0,0.0,0.7601530241207425
2018-01-02 20:00:00,2768.0,0.0,0.38,115.03326595125354,0.202409548,20.2409548,0.0,0.0,0.0,0.0,0.5751663297562677
