season,column,min,mean,max
winter,load_PJME_MW,16304.0,25463.27851851852,35772.0
winter,solar_G_i__POA,0.0,112.78621759259258,1087.95
winter,solar_T2m,-13.92,2.137893518518519,14.91
winter,wind_Energy_scaled_MW,0.0,68.03952464092657,178.97908814491657
winter,eta_eff,0.148841341,0.19610765980293204,0.2136407679999999
winter,P_150MW_adj_MW,0.0,49.13967015994276,145.66415999999998
winter,P_110MW_adj_MW,0.0,36.035758117291344,106.82038399999998
fall,load_PJME_MW,15493.6,22889.94542124542,38157.6
fall,solar_G_i__POA,0.0,229.21551282051283,1111.27
fall,solar_T2m,-2.93,12.825659340659339,31.86
fall,wind_Energy_scaled_MW,0.0,75.8906978006738,178.97814256538234
fall,eta_eff,0.1306375143333333,0.18263329027777775,0.205001368
fall,P_150MW_adj_MW,0.0,53.056411842582726,145.66415999999998
fall,P_110MW_adj_MW,0.0,38.908035351227326,106.82038399999998
summer,load_PJME_MW,15831.2,27429.184420289857,44174.4
summer,solar_G_i__POA,0.0,285.4241394927536,1092.95
summer,solar_T2m,9.16,22.22348731884058,33.76
summer,wind_Energy_scaled_MW,0.0,57.026157868911866,178.9779486003497
summer,eta_eff,0.131643699,0.17279966643991543,0.195380218
summer,P_150MW_adj_MW,0.0,54.37741166768034,145.66415999999998
summer,P_110MW_adj_MW,0.0,39.87676855629891,106.82038399999998
spring,load_PJME_MW,15404.0,22306.68079710145,37759.2
spring,solar_G_i__POA,0.0,238.63122282608694,1152.33
spring,solar_T2m,-4.85,12.450792572463767,25.87
spring,wind_Energy_scaled_MW,0.0,60.008479000567576,179.0
spring,eta_eff,0.137124482,0.1825168718242753,0.20651719
spring,P_150MW_adj_MW,0.0,53.376698689659435,145.66415999999998
spring,P_110MW_adj_MW,0.0,39.142912372416916,106.82038399999998
